文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K,句子长度-DESSL（06）,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT,局部连贯-LocalCoherence,整体连贯-GlobalCoherence,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,段落平均长度-DESPL-04,段落平均长度标准差-DESPLd-05
17.txt,187.0,11.0,3,98.10399628,2.065000057,-6.113485334977696,17.0909996,2.382000029,226.38133496666669,10.694999693333337,0.0909999985,0.352999995,0.2731092698403534,0.166999996,0.333000004,0.899999976,5.5,0.707000017
18.txt,192.0,12.0,1,,,,16.25,2.0934999585,218.74966686,13.888666786666668,0.1109999975,,,0.5,0.833000004,0.635999978,6.0,2.828000069
18.txt,189.0,16.0,2,69.88600159,2.282000065,0.1743385303762181,11.81299973,1.2265000045,218.69466910000003,5.290999889666667,0.149500005,0.1923333356666666,-0.1582000071412322,0.0,0.286000013,0.967000008,8.0,2.828000069
18.txt,228.0,11.0,3,72.43499756,2.161999941,-2.5120551325463367,,,,,,,,0.0,0.166999996,1.0,5.5,0.707000017
19.txt,196.0,14.0,1,113.7450027,2.171000004,-3.9817286150395574,14.14299965,2.100999951,221.0886662766667,6.802666980000001,0.123999998,0.289333336,-0.0460969693338781,0.181999996,0.42899999,0.88499999,7.0,1.414000034
19.txt,166.0,14.0,2,,,,11.85700035,1.8055000005,238.95566559666665,16.064000446666668,0.1405000015,0.349999999,0.1891814498746982,0.400000006,0.333000004,0.808000028,7.0,2.828000069
19.txt,166.0,11.0,3,97.93800354,2.092000008,-4.925065714067614,15.18200016,1.717500001,226.90766653333333,12.048000333333334,0.0764999985,,,0.400000006,0.0,1.0,5.5,0.707000017
2.txt,163.0,15.0,1,73.51599884,2.270999908,1.3615877727541204,10.86699963,2.26850003,206.54400126333337,8.180000306666667,0.1959999949999999,0.269333333,-0.1189047487273454,0.125,0.25,0.92900002,7.5,2.121000051
2.txt,155.0,13.0,2,73.56800079,2.414000034,1.8782849686071048,12.0,1.717999965,217.20432535,10.752666633666664,0.1154999995,0.300999999,0.1070990224297705,0.222000003,0.666999996,0.875,6.5,2.121000051
2.txt,202.0,13.0,3,67.87400055,2.217000008,-2.754599619405411,15.61499977,2.7689999345,239.27400463333333,4.950333277333333,0.124499995,,,0.333000004,0.75,0.875,6.5,0.707000017
20.txt,201.0,15.0,1,,,,13.60000038,2.9880000950000003,217.2473398666667,11.608333428333331,0.1180000005,0.1493333376666666,-0.2590311582579402,0.5,0.363999993,0.92900002,7.5,2.121000051
20.txt,217.0,16.0,2,98.96499634,2.167999983,-1.1714567049351243,13.56299973,2.6070001124999997,221.19799806666663,3.071999868,0.120500002,0.3380000046666667,-0.0606367443011185,0.100000001,0.125,0.899999976,8.0,1.414000034
20.txt,213.0,13.0,3,62.24000168,2.226000071,0.5801628626957012,16.46199989,2.6180000605,234.7416687,10.954666934,0.0975,,,0.375,0.333000004,0.833000004,6.5,0.707000017
21.txt,237.0,15.0,1,80.31999969,2.444000006,3.7402799227789103,15.80000019,2.354000002,232.0676727,16.87766711,0.1285,0.2859999936666667,-0.0644108238113413,0.125,0.363999993,0.92900002,7.5,0.707000017
21.txt,173.0,16.0,2,,,,11.0,1.731000006,229.2870051,13.48733314,0.1215000005,0.2026666703333333,-0.1392209088196568,0.200000003,0.286000013,0.833000004,8.0,2.828000069
21.txt,250.0,14.0,3,76.62000275,2.049000025,-2.5644978073382703,17.85700035,2.4405000505,218.66666666666663,6.666666666666667,0.0865000005,,,,,,7.0,1.414000034
22.txt,229.0,18.0,1,110.8669968,2.348999977,5.476337624968508,12.72200012,1.6025000215,215.42933402000003,13.100332893333333,0.109500002,0.2493333296666666,-0.010777259203198,0.5,0.726999998,0.79400003,9.0,2.828000069
22.txt,165.0,12.0,2,80.32099915,2.219000101,-3.932840117931931,13.75,1.705000013,230.3030064666667,6.060666403333333,0.129999999,0.2426666593333333,0.0757000090731996,0.082999997,0.200000003,0.908999979,6.0,1.414000034
22.txt,172.0,10.0,3,81.45800018,2.197999954,-0.0143271940112725,17.29999924,2.9255000055,226.74400333333332,13.565999986666668,0.0845,0.228333334,0.120091608769122,0.5,0.666999996,0.833000004,5.0,0.0
23.txt,191.0,16.0,1,125.4280014,2.415999889,2.118406387245628,11.93799973,1.2279999855,225.13100177,8.726333300666667,0.103,0.2216666739999999,-0.2161951790810741,0.625,0.5,0.933000028,8.0,0.0
23.txt,175.0,14.0,2,89.27400208,2.313999891,-0.5216672815553665,12.5,2.117999941,240.00000254666665,5.714333216666667,0.134999998,0.3639999976666666,0.1182946074357593,0.111000001,0.111000001,0.808000028,7.0,5.657000065
23.txt,233.0,14.0,3,108.8320007,2.315000057,-0.91936650926813,16.7859993,2.1499999460000003,227.4680023233333,10.014666556,0.1039999985,0.252666667,-0.1250172937466066,0.0,0.666999996,0.768999994,7.0,0.0
24.txt,244.0,20.0,1,75.04000092,2.415999889,2.4751191985620835,12.19999981,2.0864999595,228.14200083999995,13.661332766666668,0.126499999,0.3190000106666666,-0.0557631275924563,0.181999996,0.0,0.894999981,10.0,1.414000034
24.txt,194.0,12.0,2,,,,16.16699982,2.150000006,219.93133546666664,8.59133339,0.1119999995,0.1910000046666666,-0.1410573052440065,0.111000001,0.375,0.773000002,6.0,1.414000034
24.txt,185.0,15.0,3,76.01200104,2.111999989,-0.6408330106826696,12.33300018,3.0680000780000003,236.03599803333336,5.40500021,0.1465000065,0.3326666706666667,0.1282791213567914,0.25,0.273000002,1.0,7.5,2.121000051
25.txt,160.0,13.0,1,71.77400208,2.278000116,3.02460149438312,12.38500023,1.976999998,227.08333333333337,8.333333333333334,0.1534999985,0.233333332,0.027075618013772,0.143000007,0.0,0.833000004,6.5,2.121000051
25.txt,176.0,12.0,2,87.00900269,2.269000053,3.24674204564613,14.66699982,2.204000026,250.00033316666668,13.25766627,0.129000001,0.3579999956666666,-0.0704625826397113,0.25,0.375,0.726999998,6.0,1.414000034
25.txt,180.0,11.0,3,66.95500183,2.125999928,-0.3182665003204761,16.54500008,2.7635001245,227.77766421333337,11.11100006,0.1295000015,0.3859999946666667,0.3245362489975982,0.0,0.0,0.699999988,5.5,0.707000017
26.txt,237.0,13.0,1,71.76899719,2.430000067,1.248498450591228,18.2310009,3.1285000445,234.88033292666668,12.658332823333334,0.1174999995,,,0.42899999,0.400000006,0.875,6.5,0.707000017
26.txt,180.0,11.0,2,87.15599823,2.161999941,-2.9314105104163986,16.36400032,3.1684999765,227.77766926666663,9.259666762,0.1150000019999999,0.3509999959999999,0.0750516867708253,0.600000024,0.75,0.899999976,5.5,3.536000013
26.txt,215.0,15.0,3,92.30999756,2.299000025,-0.2877229209133674,14.53299999,2.1384999455,215.50400032333332,7.751999854333334,0.118499998,0.276333337,0.1382519941360273,0.666999996,0.400000006,0.856999993,7.5,0.707000017
27.txt,180.0,12.0,1,86.05799866,2.354000092,1.8467405350572648,15.08300018,2.730999917,220.3703308,9.259333293333334,0.147500001,0.3773333233333333,0.1175122141219621,0.666999996,0.444000006,0.954999983,6.0,2.828000069
27.txt,167.0,15.0,2,75.17099762,2.467999935,3.8663181173365615,11.13300037,1.7765000465,207.58466591,9.979999858666666,0.147,0.199000001,-0.2093785502243331,0.0,0.111000001,0.856999993,7.5,4.949999809
27.txt,153.0,10.0,3,96.02400208,2.407000065,9.750957355240743,15.30000019,2.2650000450000003,228.75800068666663,10.893332958333332,0.1085000005,0.1683333353333333,0.0451296054656988,0.5,0.5,0.888999999,5.0,1.414000034
28.txt,175.0,17.0,1,84.60700226,2.322000027,-1.3438349997498025,10.29399967,1.780999988,198.09500248,1.9046667416666667,0.153999999,0.226666675,0.0049726573075393,0.57099998,0.5,0.906000018,8.5,3.536000013
28.txt,210.0,12.0,2,,,,17.5,1.865500003,211.11099750666668,14.285999934666668,0.1054999975,0.2883333366666666,0.0729664046123116,0.333000004,0.5,0.908999979,6.0,0.0
28.txt,155.0,9.0,3,91.29100037,2.262000084,2.1294419275259457,17.22200012,2.0769999625,204.30099997333332,12.90299988,0.0634999985,0.4329999983333333,0.3023199000488757,0.25,0.5,1.0,4.5,2.121000051
29.txt,185.0,14.0,1,,,,13.35700035,1.751499951,223.42366789999997,9.008999983333334,0.137000002,0.198999996,-0.0454629598699417,0.25,0.555999994,0.922999978,7.0,2.828000069
29.txt,150.0,13.0,2,85.50499725,2.187000036,-3.2138660111116906,11.53800011,1.709499955,219.99967192666668,22.22200012,0.130499996,0.288,-0.2476641789706651,0.090999998,0.286000013,0.916999996,6.5,0.707000017
29.txt,212.0,10.0,3,81.94300079,2.029000044,-9.088855704664688,,,,,,,,0.200000003,0.333000004,0.833000004,5.0,0.0
3.txt,200.0,17.0,1,90.97899628,2.454999924,2.0601167380108905,11.82400036,1.8100000025,198.33333333333337,13.333333333333334,0.146499999,0.2576666626666666,-0.1638316311436915,0.666999996,0.181999996,0.718999982,8.5,2.121000051
3.txt,170.0,13.0,2,78.28299713,2.259000063,-0.4289135277363698,13.15400028,1.8674999775,213.72533673333336,11.764666556333331,0.137000002,0.316666663,0.1482395239314093,0.166999996,0.666999996,0.875,6.5,2.121000051
3.txt,210.0,12.0,3,,,,17.58300018,3.1834999025,209.52366382,11.111333528666668,0.103500001,0.3086666663333333,0.2191920869759624,0.125,0.833000004,1.0,6.0,0.0
30.txt,140.0,8.0,1,,,,17.625,3.022000015,202.3810018,9.524000325333336,0.085499998,,,0.400000006,0.5,0.643000007,4.0,0.0
30.txt,156.0,9.0,2,,,,17.33300018,3.5635000464999997,209.40166473333332,14.957667033333331,0.083999999,,,0.5,0.75,0.875,4.5,0.707000017
30.txt,197.0,14.0,3,89.51300049,2.23300004,-0.9832779974737776,14.14299965,2.2214999795,216.58200073,11.844333648,0.1139999999999999,0.2253333296666666,-0.1158985079292866,0.286000013,0.600000024,0.922999978,7.0,0.0
31.txt,187.0,12.0,1,76.24900055,2.272000074,3.376772031153095,15.41699982,2.5745000840000003,247.77165983333336,8.91266648,0.116499998,0.3523333256666667,0.2149116277349673,0.125,0.222000003,0.908999979,6.0,1.414000034
31.txt,218.0,8.0,2,49.51499939,2.463000059,5.505129252762828,,,,,,,,0.0,0.25,0.786000013,4.0,1.414000034
31.txt,173.0,11.0,3,83.65499878,2.265000105,1.1938952402417016,15.81799984,2.423999965,202.31200153666668,5.78000021,0.120500002,,,0.333000004,0.200000003,0.899999976,5.5,0.707000017
32.txt,198.0,14.0,1,79.76899719,2.358999968,0.0544756651942748,14.21399975,2.0414999425,213.80499776,11.784666539333331,0.0860000029999999,0.232000003,-0.0369375460517688,0.333000004,0.375,0.731000006,7.0,1.414000034
32.txt,123.0,8.0,2,85.20800018,2.069000006,-10.411282439852492,15.375,2.260500014,238.48233033333335,5.420000076,0.1550000015,0.1689999973333333,-0.1056895518798939,0.286000013,0.600000024,0.856999993,4.0,1.414000034
32.txt,216.0,13.0,3,85.30400085,2.220000029,0.1786090722814464,16.69199944,1.868999958,223.7653350666666,20.06199964,0.1094999985,,,,,,6.5,0.707000017
33.txt,177.0,14.0,1,87.94000244,2.154999971,-0.1723208863985519,12.64299965,2.264999986,212.80566913333337,3.76666673,0.1689999999999999,0.4063333223333333,-0.1299170305381425,0.300000012,0.625,1.0,7.0,2.828000069
33.txt,188.0,13.0,2,72.4469986,2.183000088,-1.7257044787703677,14.69200039,2.666999966,218.08499654,14.184333325666666,0.1160000005,0.4373333353333333,0.2964390029081476,0.25,0.125,0.916999996,6.5,2.121000051
33.txt,172.0,11.0,3,104.9069977,2.381999969,0.8870983498974994,15.72700024,2.151499957,199.61233772666665,13.565999983333333,0.1085000005,0.1846666693333333,-0.1100257483404449,0.166999996,0.333000004,0.949999988,5.5,0.707000017
34.txt,165.0,12.0,1,113.7890015,2.378999949,4.7571507524803565,,,,,,0.1543333306666666,-0.3259921010865944,0.286000013,0.375,0.818000019,6.0,0.0
34.txt,166.0,13.0,2,54.71099854,2.40199995,5.86960049664485,12.76900005,1.360999972,226.90766143,8.032000222666667,0.1030000005,0.3946666693333334,0.3069806773329382,0.111000001,0.455000013,0.916999996,6.5,0.707000017
34.txt,202.0,12.0,3,,,,16.91699982,1.9855000375,196.36967215333337,8.250666617666667,0.070999999,0.2920000056666667,0.0494397449106058,,,,6.0,0.0
35.txt,219.0,15.0,1,87.13500214,2.316999912,-0.9655791530841212,14.66699982,1.9035000205,219.17799631666665,13.698333104666666,0.118999999,0.3489999973333333,0.1118693428370417,0.286000013,0.416999996,0.92900002,7.5,2.121000051
35.txt,123.0,12.0,2,96.27200317,2.496000051,6.446240941142747,10.25,1.3069999965,224.9323349,5.420000076,0.1575000065,0.3523333396666666,-0.0246618479111238,,,,6.0,1.414000034
35.txt,210.0,12.0,3,90.52799988,2.079999924,-6.946643406427725,17.5,3.3875000775,219.04766336666663,9.524000169333334,0.0955,0.232000003,-0.1644524152546103,,,,6.0,2.828000069
36.txt,209.0,13.0,1,88.46600342,2.289999962,3.052450399175541,16.30800056,2.7355000375,223.28566743333332,11.164333343333334,0.1099999995,0.221333335,-0.0863502250851059,0.111000001,0.25,0.916999996,6.5,3.536000013
36.txt,180.0,14.0,2,75.10800171,2.230999947,0.5605412656073412,12.85700035,1.993999988,198.14799501333337,9.259333293333334,0.109000001,0.2556666583333333,-0.0011057658802046,0.200000003,0.42899999,0.962000012,7.0,2.828000069
36.txt,199.0,18.0,3,101.5889969,2.039000034,-9.767713575962157,,,,,,0.233333329,-0.0974939184006092,0.222000003,0.25,0.735000014,9.0,2.828000069
37.txt,172.0,16.0,1,67.24700165,2.404000044,2.6593571867058756,10.81299973,1.4434999825,224.8059997633333,5.81400013,0.1735000015,0.3193333296666666,-0.0448767728047186,0.222000003,0.111000001,0.899999976,8.0,0.0
37.txt,188.0,12.0,2,52.80599976,2.204999924,4.241764891629515,15.66699982,1.784500003,237.58866883333337,8.865333399,0.1254999975,0.3303333296666667,0.1608323080574003,0.666999996,0.5,0.908999979,6.0,4.243000031
37.txt,192.0,13.0,3,82.49900055,2.16899991,-0.7840378479254326,14.76900005,2.010500014,215.27766166,3.4720001220000003,0.1515000014999999,0.3076666646666667,-0.1161342560534065,0.400000006,0.400000006,1.0,6.5,2.121000051
38.txt,212.0,16.0,1,74.9260025,2.426000118,6.469054756793042,13.25,2.219999969,223.27066296333336,11.006333352666667,0.103,0.2836666656666667,-0.0711738709586986,0.444000006,0.111000001,0.933000028,8.0,2.828000069
38.txt,204.0,13.0,2,,,,15.76900005,2.6659998895,215.68600463666667,3.267999966666667,0.091499999,0.1713333326666667,-0.0802378699302007,0.181999996,0.286000013,0.875,6.5,3.536000013
38.txt,216.0,12.0,3,,,,18.0,2.7380000950000003,214.5063349333333,7.716333071333334,0.0955,0.3896666716666666,0.1466746025713432,0.400000006,0.111000001,0.864000022,6.0,1.414000034
39.txt,187.0,17.0,1,80.26200104,2.480999947,3.056315681931949,11.05900002,1.5365000519999998,245.9893315633333,8.912666476666667,0.139000006,0.2026666676666666,-0.0559979529207633,0.333000004,0.166999996,0.843999982,8.5,2.121000051
39.txt,175.0,12.0,2,76.86799622,2.049000025,-2.1410810920437484,14.66699982,2.16049999,196.19033049666663,17.14299965,0.074000001,0.2130000046666667,-0.118153930601623,0.200000003,0.166999996,0.864000022,6.0,1.414000034
39.txt,175.0,11.0,3,94.22799683,2.157999992,0.4934708214500318,16.0,2.830000013,228.57133228,13.333333333333334,0.101999998,0.2123333336666666,-0.0219684455507414,0.25,0.286000013,0.75,5.5,2.121000051
4.txt,,,1,60.00699997,2.367000103,-1.069010455395329,,,,,,,,,,,5.0,1.414000034
4.txt,160.0,10.0,2,72.92900085,2.351999998,2.3763347204371996,16.10000038,2.706499964,229.16666666666663,8.333333333333334,0.1240000015,,,0.25,0.0,0.888999999,5.0,1.414000034
4.txt,204.0,15.0,3,83.30699921,2.430000067,2.5108163191405595,13.7329998,2.24150002,209.15066403666663,16.340000153333335,0.1224999985,,,0.143000007,0.166999996,0.963999987,7.5,0.707000017
40.txt,273.0,19.0,1,92.04799652,2.381000042,3.690982605065045,14.36800003,1.4454999865,217.33800505333332,10.989000319,0.1174999995,0.2506666656666667,-0.0946633792959672,0.400000006,0.25,0.888999999,9.5,0.707000017
40.txt,140.0,11.0,2,72.33300018,2.003999949,-1.1328520425570758,,,,,,0.1073333346666666,-0.2010694775601207,0.0,0.400000006,0.899999976,5.5,3.536000013
40.txt,204.0,9.0,3,103.9990005,2.328999996,-4.80024800691659,,,,,,,,,,,4.5,0.707000017
41.txt,179.0,13.0,1,95.44200134,2.232000113,-2.1104849906697183,13.84599972,2.7470000985,238.36133324,7.449000041000001,0.116999999,0.322666665,0.0635912071088782,0.333000004,0.400000006,0.708000004,6.5,0.707000017
41.txt,208.0,21.0,2,87.14700317,2.187000036,1.2710064733333295,10.0,1.574000031,216.34600065333336,11.218000253,0.126000002,0.2233333286666666,-0.1774975078677704,0.214000002,0.222000003,0.899999976,10.5,4.949999809
41.txt,223.0,15.0,3,82.27200317,2.28399992,0.7650737160105905,15.06700039,2.193499982,222.72033179666664,17.937000273333332,0.118999999,0.3539999973333333,-0.0234625625223391,0.181999996,0.25,1.0,7.5,2.121000051
42.txt,198.0,13.0,1,70.95600128,2.085999966,-2.1209137911637015,15.23099995,3.2354999185,254.20866393333336,10.100999833333333,0.129500005,0.2286666656666666,0.091482002003679,0.57099998,0.42899999,0.916999996,6.5,2.121000051
42.txt,190.0,17.0,2,79.70600128,2.236000061,-4.560885550570234,11.29399967,1.831499994,215.78933208,8.771666527333332,0.118999999,0.1819999966666666,-0.2031707384675891,0.800000012,0.42899999,0.938000023,8.5,3.536000013
42.txt,202.0,18.0,3,65.20800018,2.290999889,0.2829186295497834,11.22200012,2.4429998994999997,222.77199556666665,4.950333277333333,0.1934999969999999,0.2723333273333333,-0.0968867245198595,0.300000012,0.307999998,0.852999985,9.0,1.414000034
43.txt,183.0,9.0,1,90.67500305,2.279000044,-3.855510668503868,20.33300018,1.4249999525,229.50833386666667,16.393332958333335,0.0880000035,0.2953333356666667,0.1545827334875864,0.333000004,0.57099998,1.0,4.5,0.707000017
43.txt,163.0,18.0,2,77.85500336,2.190999985,-2.7584723466748784,9.055999756,1.18599996,204.49900307,4.090000152666667,0.1520000025,0.0970000003333333,-0.2657753457924548,0.111000001,0.100000001,0.852999985,,
43.txt,258.0,19.0,3,66.55999756,2.325000048,1.45985688926487,13.68400002,2.460999995,237.72599793333333,15.504000028333332,0.1215,0.3976666633333334,0.3411527568006171,0.0,0.25,0.916999996,9.5,0.707000017
44.txt,229.0,16.0,1,105.3249969,2.301000118,1.582033889445967,14.31299973,2.150999993,227.07400769,10.189333119666664,0.1669999955,0.3119999963333333,0.1441315669640215,0.125,0.0,0.800000012,8.0,2.828000069
44.txt,156.0,13.0,2,102.3430023,2.33100009,4.663681966770042,12.0,2.800000012,217.94899747666668,8.547000249,0.1634999959999999,0.3543333313333334,0.0284804644453219,0.222000003,0.333000004,0.833000004,6.5,2.121000051
44.txt,218.0,13.0,3,73.95999908,2.052999973,-5.648627295831048,16.84600067,3.585999936,235.47400156666663,12.232333499666666,0.1149999985,0.3163333313333333,0.1823043290384713,,,,6.5,0.707000017
45.txt,149.0,11.0,1,75.52300262,2.358999968,0.463238291721467,13.54500008,1.428499967,201.34266662666667,8.94866689,0.1395,0.220333334,-0.1586014781012634,0.42899999,0.400000006,0.949999988,5.5,0.707000017
45.txt,158.0,17.0,2,68.36000061,2.512000084,6.7911373758943085,9.352999687,1.346000016,221.51899847333337,8.438666660666668,0.188000001,0.157666666,-0.1829858554311858,0.5,0.300000012,0.906000018,,
45.txt,211.0,14.0,3,60.69400024,2.334000111,-0.8461786739461132,15.0710001,2.8760000764999996,243.28566996666663,9.478666781333333,0.1609999985,0.3629999906666667,0.0799350154457274,0.200000003,0.42899999,0.846000016,7.0,1.414000034
46.txt,229.0,14.0,1,110.3379974,2.127000093,-0.9577457875351314,16.5,1.7644999920000002,216.88533527666664,14.555999753333332,0.088999998,0.2236666703333333,-0.1049098795343508,0.200000003,0.5,0.846000016,7.0,0.0
46.txt,157.0,10.0,2,72.27200317,2.684000015,4.3338011471050635,15.80000019,1.1659999785,225.05299888,16.98499949933333,0.0735,0.4366666676666666,0.2899166576947344,0.800000012,0.57099998,0.777999997,5.0,2.828000069
