文本编号,年级,局部连贯-LocalCoherence,整体连贯-GlobalCoherence
1.txt,1,0.31600000466666667,0.2216665689413687
100.txt,1,0.21499999866666666,-0.08777703709823248
11.txt,1,0.26200000966666664,0.06468295994786288
12.txt,1,0.24266667433333333,-0.18378028082150438
13.txt,1,0.2520000016666667,0.051442536946367357
15.txt,1,0.23666666433333336,-0.0025789030483394093
17.txt,1,0.32699999733333335,0.09530737631794195
19.txt,1,0.289333336,-0.04609696933387819
2.txt,1,0.269333333,-0.11890474872734547
20.txt,1,0.14933333766666668,-0.2590311582579402
21.txt,1,0.2859999936666667,-0.06441082381134133
22.txt,1,0.24933332966666666,-0.010777259203198053
23.txt,1,0.22166667399999998,-0.21619517908107416
24.txt,1,0.31900001066666667,-0.055763127592456385
25.txt,1,0.23333333200000003,0.027075618013772007
27.txt,1,0.37733332333333336,0.11751221412196211
28.txt,1,0.226666675,0.004972657307539374
29.txt,1,0.19899999600000004,-0.045462959869941755
3.txt,1,0.25766666266666666,-0.16383163114369154
31.txt,1,0.3523333256666667,0.2149116277349673
32.txt,1,0.232000003,-0.0369375460517688
33.txt,1,0.40633332233333336,-0.12991703053814252
34.txt,1,0.15433333066666668,-0.3259921010865944
35.txt,1,0.3489999973333333,0.11186934283704175
36.txt,1,0.221333335,-0.08635022508510592
37.txt,1,0.31933332966666667,-0.04487677280471869
38.txt,1,0.2836666656666667,-0.07117387095869865
39.txt,1,0.20266666766666666,-0.05599795292076337
40.txt,1,0.2506666656666667,-0.09466337929596724
41.txt,1,0.322666665,0.06359120710887822
42.txt,1,0.22866666566666669,0.09148200200367906
43.txt,1,0.2953333356666667,0.15458273348758644
44.txt,1,0.31199999633333336,0.14413156696402152
45.txt,1,0.220333334,-0.15860147810126346
46.txt,1,0.22366667033333335,-0.10490987953435083
47.txt,1,0.196333329,-0.08162789434387119
48.txt,1,0.13533333433333333,-0.19735925398174864
49.txt,1,0.1980000053333333,-0.13024050683234656
50.txt,1,0.26499999566666665,0.14614217249291528
51.txt,1,0.255999996,0.053458934860132645
52.txt,1,0.3116666676666667,-0.02760786373201929
53.txt,1,0.29466665799999997,0.007982085204402467
54.txt,1,0.26533334199999997,0.1725205939249298
55.txt,1,0.248666664,-0.06156806459555986
56.txt,1,0.3873333256666667,0.28079299674968006
58.txt,1,0.38066666833333335,0.1741150149747024
59.txt,1,0.306666677,-0.17237331345529933
6.txt,1,0.23800000033333332,0.1304133451076256
60.txt,1,0.15799999733333334,0.02586274176833292
61.txt,1,0.23966667033333333,-0.17312324976340476
62.txt,1,0.26733333600000003,-0.10692745311916785
64.txt,1,0.25900000333333334,0.06219780184759083
65.txt,1,0.254666671,0.07064524023990648
66.txt,1,0.32200000433333337,0.2269094074947665
67.txt,1,0.299333339,-0.014545601479297288
68.txt,1,0.237666674,-0.1303623924655828
