文本编号,局部连贯-CRFAO1（29）,局部连贯-CRFSO1（30）,局部连贯-LSASS1(40),整体连贯-CRFAOa（32）,整体连贯-CRFSOa（33）,整体连贯-LSASSp（42）,整体连贯-LSAPP1（44）,整体连贯-LSAGN（46）,年级
21.txt,0.61500001,0.231000006,0.093999997,0.564999998,0.317999989,0.141000003,0.579999983,0.277999997,3
22.txt,0.444000006,0.111000001,0.129999995,0.666999996,0.178000003,0.131999999,0.51700002,0.252999991,3
23.txt,0.38499999,0.231000006,0.142000005,0.423999995,0.118000001,0.093999997,0.546999991,0.256999999,3
24.txt,0.643000007,0.214000002,0.141000003,0.64200002,0.241999999,0.157000005,0.632000029,0.294999987,3
25.txt,0.899999976,0.100000001,0.158000007,0.890999973,0.164000005,0.135000005,0.449000001,0.25,3
26.txt,0.643000007,0.071000002,0.115000002,0.716000021,0.126000002,0.151999995,0.351000011,0.287999988,3
27.txt,0.333000004,0.111000001,0.061000001,0.621999979,0.156000003,0.089000002,0.365999997,0.233999997,3
28.txt,0.875,0.25,0.173999995,0.861000001,0.222000003,0.163000003,0.400999993,0.261000007,3
29.txt,1.0,0.555999994,0.252000004,0.933000028,0.578000009,0.293000013,0.467999995,0.326000005,3
3.txt,0.726999998,0.090999998,0.108000003,0.768999994,0.215000004,0.125,0.483999997,0.246999994,3
30.txt,0.537999988,0.077,0.061000001,0.470999986,0.093999997,0.061999999,0.356999993,0.234999999,3
31.txt,0.800000012,0.400000006,0.135000005,0.818000019,0.308999985,0.141000003,0.537999988,0.280000001,3
32.txt,0.916999996,0.416999996,0.115999997,0.773000002,0.319999993,0.126000002,0.529999971,0.287,3
33.txt,0.400000006,0.100000001,0.054000001,0.47299999,0.055,0.104999997,0.395000011,0.238000005,3
34.txt,0.545000017,0.181999996,0.149000004,0.584999979,0.246000007,0.137999997,0.486000001,0.268999994,3
35.txt,0.455000013,0.181999996,0.059,0.400000006,0.153999999,0.103,0.38499999,0.256000012,3
36.txt,0.528999984,0.059,0.112000003,0.463999987,0.079999998,0.093000002,0.518999994,0.246999994,3
37.txt,0.666999996,0.166999996,0.089000002,0.453000009,0.133000001,0.104000002,0.389999986,0.252999991,3
38.txt,0.818000019,0.181999996,0.169,0.708000004,0.169,0.165999994,0.407000005,0.263999999,3
39.txt,0.5,0.100000001,0.037,0.545000017,0.127000004,0.07,0.47299999,0.210999995,3
4.txt,0.5,0.143000007,0.115999997,0.64200002,0.210999995,0.177000001,0.418000013,0.319000006,3
40.txt,0.5,0.375,0.182999998,0.583000004,0.333000004,0.174999997,0.344000012,0.254999995,3
41.txt,0.713999987,0.214000002,0.134000003,0.537,0.094999999,0.109999999,0.504000008,0.273000002,3
42.txt,0.528999984,0.234999999,0.052999999,0.456,0.104000002,0.081,0.55400002,0.25999999,3
43.txt,0.888999999,0.166999996,0.136999995,0.874000013,0.200000003,0.158000007,0.59799999,0.312000006,3
44.txt,0.75,0.082999997,0.115999997,0.746999979,0.159999996,0.133000001,0.42899999,0.268000007,3
45.txt,0.691999972,0.231000006,0.165999994,0.63499999,0.152999997,0.148000002,0.462000012,0.280999988,3
46.txt,0.768999994,0.153999999,0.149000004,0.776000023,0.187999994,0.150999993,0.467000008,0.287,3
47.txt,0.726999998,0.0,0.104000002,0.676999986,0.061999999,0.127000004,0.379000008,0.241999999,3
48.txt,0.666999996,0.222000003,0.105999999,0.621999979,0.156000003,0.140000001,0.409999996,0.238000005,3
49.txt,0.666999996,0.200000003,0.149000004,0.800000012,0.151999995,0.150000006,0.573000014,0.294,3
5.txt,0.400000006,0.133000001,0.135000005,0.370999992,0.133000001,0.115999997,0.409000009,0.277999997,3
50.txt,0.462000012,0.153999999,0.064999998,0.423999995,0.118000001,0.104000002,0.246000007,0.272000015,3
51.txt,0.643000007,0.071000002,0.101000004,0.662999988,0.147,0.115999997,0.463,0.287999988,3
52.txt,0.600000024,0.133000001,0.126000002,0.523999989,0.143000007,0.112999998,0.488999993,0.261999995,3
53.txt,0.600000024,0.067000002,0.089000002,0.58099997,0.162,0.136000007,0.48300001,0.282999992,3
54.txt,0.42899999,0.0,0.063000001,0.495000005,0.136999995,0.104999997,0.626999974,0.275000006,3
55.txt,0.437999994,0.187999994,0.120999999,0.538999975,0.112999998,0.111000001,0.465999991,0.268000007,3
56.txt,0.57099998,0.214000002,0.115000002,0.504999995,0.094999999,0.086999997,0.30399999,0.226999998,3
57.txt,0.75,0.333000004,0.163000003,0.587000012,0.239999995,0.152999997,0.433999985,0.286000013,3
