文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级
89.txt,277,15,3
9.txt,180,14,3
90.txt,251,10,3
91.txt,243,9,3
92.txt,237,11,3
93.txt,292,22,3
94.txt,250,16,3
95.txt,257,14,3
96.txt,249,13,3
97.txt,252,12,3
98.txt,192,14,3
99.txt,207,11,3
