文本编号,短语长度-SYNLE（69）,短语长度-SYNNP（70）,短语密度-DRNP（76）,短语密度-DRVP（77）,短语密度-DRPP（79）,句子长度-DESSL（06）,句子结构-DRPVAL（80）,句子结构-DRNEG（81）,句子结构-DRINF（83）,句法相似-SYNSTRUTa（74）,句法相似-SYNSTRUTt（75）,年级
42.txt,5.922999859,0.547999978,363.6359863,282.8280029,116.1620026,15.23099995,0.0,0.0,30.3029995,0.123000003,0.136000007,1
43.txt,2.221999884,0.628000021,300.54599,267.7600098,120.2190018,20.33300018,10.9289999,5.464000225,32.78699875,0.090000004,0.086000003,1
44.txt,3.625,0.676999986,323.1440125,275.1090088,82.96900177,14.31299973,8.734000206,4.367000103,17.46699905,0.172999993,0.160999998,1
45.txt,2.181999922,0.675000012,288.5910034,255.0339966,60.40299988,13.54500008,0.0,0.0,26.84600067,0.137999997,0.141000003,1
46.txt,2.786000013,0.742999971,353.7120056,218.3410034,78.60299683,16.5,0.0,21.83399963,21.83399963,0.101999998,0.075999998,1
47.txt,2.832999945,0.541000009,340.1019897,253.8070068,86.29399872,10.94400024,5.076000214,0.0,20.30500031,0.187000006,0.172999993,1
48.txt,4.230999947,0.737999976,290.322998,193.5480042,103.2259979,11.92300034,0.0,0.0,6.452000141,0.166999996,0.136999995,1
49.txt,3.332999945,0.5,315.4360046,268.4559937,67.11399841,12.41699982,0.0,6.710999966,26.84600067,0.141000003,0.137999997,1
5.txt,2.61500001,0.616999984,324.8410034,267.5159912,76.43299866,12.07699966,6.368999958,0.0,31.84700012,0.127000004,0.143999994,1
50.txt,3.454999924,0.772000015,331.7070007,253.6589966,107.3170013,18.72699928,4.877999783,9.755999565,24.38999939,0.078000002,0.088,1
51.txt,3.532999992,0.515999973,357.1430054,276.1900024,90.47599792,14.19999981,0.0,19.04800034,23.80999947,0.128000006,0.123000003,1
52.txt,3.786000013,0.588999987,347.3680115,247.3679962,100.0,13.5710001,0.0,0.0,26.31599998,0.092,0.100000001,1
53.txt,5.166999817,0.603999972,317.4599915,253.9680023,89.9469986,15.83300018,0.0,10.58199978,26.45499992,0.149000004,0.119999997,1
54.txt,4.09100008,0.713999987,314.1359863,303.6650085,89.00499725,17.54500008,0.0,10.47099972,36.64899826,0.107000001,0.098999999,1
55.txt,3.635999918,0.721000016,363.6359863,207.272995,101.8180008,12.5909996,7.272999763,14.54500008,3.635999918,0.108999997,0.115999997,1
56.txt,5.083000183,0.433999985,312.1690063,301.5870056,74.0739975,15.83300018,5.290999889,5.290999889,5.290999889,0.127000004,0.123000003,1
57.txt,3.437999964,0.754999995,335.1350098,172.9730072,124.3239975,11.56299973,5.40500021,10.81099987,0.0,0.157000005,0.166999996,1
58.txt,3.700000048,0.646000028,367.4700012,246.9880066,102.4100037,16.60000038,12.04800034,0.0,36.14500046,0.123999998,0.096000001,1
59.txt,3.700000048,0.680000007,358.3330078,204.1670074,116.6669998,12.0,0.0,4.166999817,12.5,0.151999995,0.151999995,1
6.txt,2.923000097,0.787,316.4559937,259.493988,75.9489975,12.15400028,0.0,0.0,31.64599991,0.180000007,0.152999997,1
60.txt,3.667000055,0.603999972,352.6010132,236.9940033,98.26599884,14.41699982,0.0,0.0,17.3409996,0.148000002,0.109999999,1
61.txt,4.928999901,0.623000026,321.4289856,244.897995,137.7550049,14.0,20.40800095,5.102000237,20.40800095,0.086000003,0.093999997,1
62.txt,3.38499999,0.405000001,318.1820068,259.7399902,58.44200134,11.92300034,0.0,19.4810009,19.4810009,0.133000001,0.136999995,1
63.txt,6.099999905,0.647000015,338.9119873,242.6779938,83.68199921,24.29999924,0.0,16.73600006,33.47299957,0.075999998,0.077,1
64.txt,2.933000088,0.635999978,338.4620056,241.026001,87.17900085,13.06700039,0.0,10.25599957,20.51300049,0.130999997,0.128000006,1
65.txt,3.5,0.593999982,308.0169983,244.7259979,80.16899872,11.94999981,0.0,8.43900013,8.43900013,0.180000007,0.187999994,1
66.txt,3.75,0.493000001,344.8280029,254.3099976,103.447998,14.56299973,0.0,4.309999943,21.55200005,0.108000003,0.130999997,1
67.txt,2.477999926,0.726999998,333.3330078,248.0619965,96.89900208,11.26099968,3.875999928,3.875999928,7.751999855,0.156000003,0.158999994,1
68.txt,2.700000048,0.63499999,359.6059875,295.5669861,83.7440033,10.19999981,4.926000118,9.852000237,49.26100159,0.178000003,0.187999994,1
69.txt,3.928999901,0.72299999,333.3330078,252.1369934,76.92299652,16.7140007,0.0,4.274000168,29.91500092,0.105999999,0.107000001,1
7.txt,6.599999905,0.57099998,360.5440063,244.897995,102.0410004,14.69999981,0.0,0.0,13.60499954,0.224999994,0.178000003,1
70.txt,3.286000013,0.712000012,354.1669922,218.75,67.70800018,13.71399975,0.0,0.0,15.625,0.093999997,0.103,1
71.txt,3.538000107,0.783999979,329.730011,210.8110046,102.7030029,14.15400028,5.40500021,5.40500021,5.40500021,0.119999997,0.119000003,1
72.txt,3.428999901,0.671000004,366.6669922,241.6670074,83.33300018,11.4289999,4.166999817,0.0,16.66699982,0.177000001,0.170000002,1
73.txt,2.928999901,0.703000009,311.2030029,257.2609863,95.43599701,17.2140007,0.0,4.149000168,20.74699974,0.093999997,0.098999999,1
74.txt,2.5,0.610000014,308.2189941,239.7259979,82.19200134,10.4289999,0.0,0.0,20.54800034,0.148000002,0.158999994,1
75.txt,2.881999969,0.49000001,319.5270081,260.355011,76.92299652,9.940999985,0.0,0.0,17.75099945,0.149000004,0.150999993,1
76.txt,1.667000055,0.652999997,373.9500122,239.4960022,79.83200073,15.86699963,4.202000141,4.202000141,25.20999908,0.098999999,0.104999997,1
77.txt,2.142999887,0.518999994,365.7139893,251.4290009,74.28600311,12.5710001,5.714000225,5.714000225,11.4289999,0.142000005,0.131999999,1
78.txt,2.888999939,0.800000012,346.3039856,214.0079956,124.5139999,14.27799988,3.891000032,3.891000032,11.67300034,0.142000005,0.128999993,1
79.txt,3.076999903,0.56099999,336.7349854,239.7960052,107.1429977,15.23099995,0.0,10.20400047,0.0,0.119999997,0.129999995,1
8.txt,3.0,0.782000005,348.8370056,250.0,93.02300262,11.46700001,0.0,0.0,23.25600052,0.137999997,0.115000002,1
80.txt,4.777999878,0.625,348.3869934,193.5480042,103.2259979,17.33300018,0.0,12.90299988,6.452000141,0.129999995,0.128999993,1
81.txt,3.132999897,0.555999994,344.0859985,301.0750122,75.26899719,12.39999962,0.0,10.75300026,32.25799942,0.164000005,0.135000005,1
82.txt,4.0,0.513999999,353.7120056,227.0740051,100.4369965,12.72200012,4.367000103,4.367000103,13.10000038,0.128000006,0.107000001,1
83.txt,3.26699996,0.509000003,292.3080139,276.9230042,87.17900085,13.13300037,0.0,15.38500023,5.127999783,0.162,0.136999995,1
84.txt,2.867000103,0.58099997,364.4859924,252.3359985,88.78500366,14.2670002,0.0,0.0,23.36400032,0.115999997,0.119000003,1
85.txt,2.086999893,0.680999994,291.82901,260.7000122,62.25699997,11.17399979,0.0,0.0,15.56400013,0.126000002,0.160999998,1
86.txt,3.411999941,0.486000001,363.2290039,246.6369934,107.6230011,13.11800003,0.0,0.0,13.45300007,0.133000001,0.130999997,1
87.txt,2.944000006,0.5,279.6210022,274.8819885,113.7440033,11.72200012,0.0,4.738999844,18.95700073,0.157000005,0.167999998,1
88.txt,5.599999905,0.68900001,323.3529968,233.5330048,83.83200073,16.70000076,5.987999916,0.0,17.9640007,0.111000001,0.105999999,1
89.txt,3.26699996,0.555999994,357.1430054,232.1430054,83.33300018,11.19999981,5.952000141,0.0,11.90499973,0.211999997,0.173999995,1
9.txt,2.642999887,0.643000007,333.3330078,246.154007,117.9489975,14.0,5.127999783,5.127999783,10.25599957,0.114,0.111000001,1
90.txt,2.562999964,0.67900002,350.7850037,230.3659973,109.947998,12.0,0.0,5.236000061,15.70699978,0.135000005,0.136999995,1
91.txt,3.142999887,0.532000005,363.6359863,286.7130127,83.91600037,10.28600025,0.0,6.993000031,13.98600006,0.207000002,0.208000004,1
92.txt,3.700000048,0.796999991,325.8429871,235.9550018,67.41600037,13.35000038,0.0,7.491000175,26.21699905,0.092,0.107000001,1
93.txt,2.150000095,0.550999999,358.743988,251.1210022,85.20200348,11.19999981,0.0,8.968999863,26.90600014,0.167999998,0.148000002,1
94.txt,4.556000233,0.463999987,397.7269897,227.272995,113.6360016,19.55599976,0.0,0.0,11.36400032,0.068000004,0.100000001,1
95.txt,4.467000008,0.587000012,341.1210022,257.0090027,88.78500366,14.46700001,0.0,28.03700066,14.01900005,0.131999999,0.142000005,1
96.txt,1.850000024,0.51700002,352.9410095,267.3800049,96.25700378,9.350000381,0.0,0.0,21.38999939,0.218999997,0.210999995,1
97.txt,5.267000198,0.759000003,343.3330078,250.0,56.66699982,20.13299942,3.332999945,10.0,10.0,0.093000002,0.082000002,1
98.txt,4.308000088,0.725000024,302.0830078,302.0830078,67.70800018,14.84599972,0.0,15.625,36.45800018,0.083999999,0.123000003,1
99.txt,3.312999964,0.81099999,336.9570007,222.826004,108.6959991,11.625,0.0,10.86999989,16.30400085,0.158999994,0.144999996,1
1.txt,2.917000055,0.73299998,324.5029907,211.9210052,99.33799744,12.58300018,0.0,6.623000145,19.86800003,0.138999999,0.143999994,2
10.txt,3.642999887,0.643999994,390.1099854,252.746994,104.3960037,13.0,5.494999886,0.0,32.96699905,0.144999996,0.137999997,2
100.txt,3.611000061,1.052999973,287.5820007,212.4179993,94.77100372,17.05599976,6.535999775,6.535999775,13.07199955,0.092,0.086000003,2
11.txt,4.356999874,0.609000027,366.8340149,236.1809998,115.5780029,14.21399975,5.025000095,5.025000095,10.05000019,0.140000001,0.115999997,2
12.txt,3.332999945,0.843999982,333.3330078,209.302002,108.5270004,10.75,0.0,7.751999855,31.00799942,0.148000002,0.151999995,2
13.txt,2.917000055,0.583000004,384.1059875,258.2780151,72.84799957,12.58300018,13.24499989,13.24499989,19.86800003,0.119999997,0.133000001,2
14.txt,3.933000088,0.654999971,333.3330078,268.8169861,75.26899719,12.33300018,5.375999928,0.0,10.75300026,0.086999997,0.093000002,2
15.txt,3.571000099,0.643999994,319.7969971,218.2740021,131.9799957,14.0710001,0.0,0.0,10.15200043,0.143000007,0.119999997,2
16.txt,3.470999956,0.564999998,383.4200134,259.0669861,67.35800171,11.35299969,0.0,5.181000233,36.26900101,0.138999999,0.150000006,2
17.txt,4.333000183,0.704999983,312.5,237.5,93.75,13.33300018,12.5,0.0,12.5,0.061000001,0.074000001,2
18.txt,1.625,0.828000009,354.4970093,195.7669983,105.8199997,11.81299973,0.0,5.290999889,10.58199978,0.157000005,0.142000005,2
19.txt,3.0,0.611000001,367.4700012,265.0599976,84.33699799,11.85700035,0.0,18.0720005,30.12000084,0.149000004,0.131999999,2
2.txt,2.691999912,0.744000018,296.7739868,264.5159912,90.32299805,12.0,0.0,6.452000141,25.80599976,0.112999998,0.118000001,2
20.txt,4.563000202,0.651000023,322.5809937,225.8059998,115.2070007,13.56299973,0.0,4.607999802,4.607999802,0.127000004,0.114,2
21.txt,2.75,0.712000012,352.6010132,277.4570007,57.8030014,11.0,5.78000021,0.0,34.68199921,0.119000003,0.123999998,2
22.txt,2.75,0.660000026,351.5150146,218.1820068,121.211998,13.75,0.0,0.0,18.18199921,0.138999999,0.120999999,2
23.txt,3.642999887,0.592999995,377.1430054,245.7140045,97.14299774,12.5,0.0,17.14299965,0.0,0.138999999,0.130999997,2
24.txt,3.5,0.800000012,335.052002,237.1130066,87.6289978,16.16699982,5.15500021,5.15500021,15.46399975,0.126000002,0.097999997,2
25.txt,3.917000055,0.490999997,357.9549866,289.7730103,102.2730026,14.66699982,0.0,0.0,39.77299881,0.138999999,0.119000003,2
26.txt,5.454999924,0.882000029,333.3330078,222.2220001,127.7779999,16.36400032,5.556000233,5.556000233,16.66699982,0.119000003,0.111000001,2
27.txt,2.933000088,0.620000005,317.3649902,221.5570068,83.83200073,11.13300037,5.987999916,11.97599983,11.97599983,0.144999996,0.149000004,2
28.txt,2.75,0.981000006,304.7619934,238.0950012,90.47599792,17.5,4.762000084,23.80999947,14.28600025,0.112999998,0.097999997,2
29.txt,2.691999912,0.726999998,313.3330078,273.3330078,73.33300018,11.53800011,13.33300018,13.33300018,40.0,0.129999995,0.130999997,2
3.txt,2.845999956,0.888999999,294.1180115,241.1759949,105.8820038,13.15400028,5.881999969,11.76500034,17.64699936,0.147,0.127000004,2
30.txt,6.222000122,0.904999971,339.743988,185.8970032,102.564003,17.33300018,12.8210001,12.8210001,19.2310009,0.083999999,0.083999999,2
31.txt,7.5,0.676999986,348.6239929,256.881012,114.6790009,27.5,9.173999786,13.76099968,32.11000061,0.086999997,0.086000003,2
32.txt,3.75,0.771000028,349.5939941,235.7720032,130.0809937,15.375,8.130000114,0.0,8.130000114,0.167999998,0.142000005,2
33.txt,4.691999912,0.64200002,324.4679871,255.3190002,74.46800232,14.69200039,5.318999767,15.95699978,21.27700043,0.105999999,0.126000002,2
34.txt,2.230999947,0.490999997,343.3739929,253.0119934,84.33699799,12.76900005,0.0,6.024000168,18.0720005,0.104999997,0.101000004,2
35.txt,2.25,0.363999993,357.723999,235.7720032,81.3010025,10.25,0.0,8.130000114,8.130000114,0.172000006,0.143000007,2
36.txt,3.213999987,0.773999989,322.2219849,227.7779999,44.44400024,12.85700035,0.0,11.11100006,16.66699982,0.111000001,0.107000001,2
37.txt,3.0,0.569000006,361.7019958,223.404007,127.6600037,15.66699982,5.318999767,0.0,21.27700043,0.136999995,0.114,2
38.txt,4.614999771,0.717000008,313.7250061,245.0980072,88.23500061,15.76900005,0.0,4.90199995,4.90199995,0.092,0.090999998,2
39.txt,3.5,0.82099998,280.0,222.8569946,85.71399689,14.66699982,11.4289999,11.4289999,28.57099915,0.071000002,0.077,2
4.txt,4.599999905,0.813000023,356.25,231.25,100.0,16.10000038,6.25,6.25,12.5,0.134000003,0.114,2
40.txt,3.181999922,0.739000022,385.7139893,178.5709991,142.8569946,12.72700024,0.0,0.0,7.143000126,0.194999993,0.203999996,2
41.txt,2.476000071,0.671999991,317.3080139,259.6149902,72.11499786,10.0,4.808000088,9.614999771,19.2310009,0.123999998,0.128000006,2
42.txt,2.940999985,0.722000003,315.7890015,247.3679962,84.21099854,11.29399967,5.263000011,15.78899956,5.263000011,0.114,0.123999998,2
43.txt,1.610999942,0.760999978,325.1530151,220.8589935,67.48500061,9.055999756,0.0,6.135000229,6.135000229,0.167999998,0.136000007,2
44.txt,5.0,0.600000024,339.743988,217.9490051,96.15399933,12.0,0.0,6.409999847,19.2310009,0.174999997,0.151999995,2
45.txt,2.118000031,0.574000001,360.7590027,253.1649933,50.63299942,9.352999687,6.328999996,12.65799999,6.328999996,0.175999999,0.200000003,2
46.txt,1.799999952,0.532000005,337.5799866,273.8850098,63.69400024,15.80000019,0.0,6.368999958,44.58599854,0.07,0.077,2
47.txt,2.881999969,0.65200001,391.3039856,217.3910065,101.4489975,8.118000031,0.0,0.0,7.245999813,0.128999993,0.170000002,2
48.txt,1.75,0.731000006,351.1900024,232.1430054,83.33300018,10.56299973,0.0,0.0,29.76199913,0.104000002,0.090000004,2
49.txt,3.29399991,0.791000009,341.7720032,181.4349976,109.7050018,14.0,4.218999863,12.65799999,0.0,0.075999998,0.094999999,2
5.txt,4.81799984,0.783999979,361.1109924,201.3890076,90.27799988,13.0909996,0.0,6.943999767,27.77799988,0.141000003,0.115000002,2
50.txt,2.778000116,0.626999974,391.5090027,216.9810028,89.6230011,11.83300018,4.717000008,4.717000008,9.434000015,0.178000003,0.149000004,2
51.txt,4.583000183,0.711000025,359.7120056,201.4389954,79.13700104,11.58300018,0.0,0.0,7.193999767,0.090999998,0.122000001,2
52.txt,2.111000061,0.681999981,351.723999,241.3789978,75.86199951,16.33300018,6.896999836,13.79300022,20.69000053,0.101000004,0.092,2
53.txt,3.700000048,0.707000017,385.8269958,204.723999,141.7319946,12.69999981,0.0,7.874000072,23.62199974,0.119000003,0.131999999,2
54.txt,3.769000053,0.643000007,347.8259888,250.0,92.39099884,14.38500023,0.0,21.73900032,32.60900116,0.119999997,0.123999998,2
55.txt,3.332999945,0.674000025,314.8150024,265.4320068,92.59300232,10.93299961,6.172999859,12.34599972,37.03699875,0.149000004,0.147,2
56.txt,5.153999805,0.920000017,322.7510071,243.3860016,95.23799896,14.53800011,0.0,15.87300014,15.87300014,0.097000003,0.104000002,2
57.txt,2.213999987,0.614000022,382.3529968,227.9409943,95.58799744,9.713999748,0.0,0.0,14.70600033,0.129999995,0.137999997,2
58.txt,3.832999945,0.639999986,321.6369934,245.6139984,111.1110001,14.25,5.84800005,11.6960001,17.54400063,0.145999998,0.151999995,2
59.txt,3.769000053,0.620999992,302.8850098,254.8079987,62.5,16.0,0.0,0.0,19.2310009,0.138999999,0.133000001,2
6.txt,2.364000082,0.589999974,376.0,216.0,80.0,11.27299976,0.0,8.0,24.0,0.128000006,0.135000005,2
60.txt,4.222000122,0.810000002,346.9389954,224.4900055,115.6460037,16.33300018,0.0,6.802999973,27.21100044,0.096000001,0.092,2
61.txt,3.167000055,0.777999997,372.881012,203.3899994,114.4069977,13.11100006,0.0,0.0,21.18600082,0.120999999,0.138999999,2
62.txt,4.230999947,0.625,383.4200134,248.7050018,98.44599915,14.92300034,0.0,5.181000233,15.54399967,0.100000001,0.097999997,2
63.txt,2.154000044,0.661000013,372.0929871,244.1860046,93.02300262,13.23099995,0.0,0.0,17.44199944,0.101999998,0.128000006,2
64.txt,5.300000191,0.458000004,384.6149902,216.7830048,97.90200043,14.30000019,6.993000031,0.0,6.993000031,0.126000002,0.136999995,2
65.txt,5.0,0.814999998,336.322998,233.1840057,98.65499878,14.06299973,13.45300007,13.45300007,13.45300007,0.101999998,0.112000003,2
66.txt,3.0,0.605000019,293.7059937,258.7409973,62.93700027,17.875,13.98600006,6.993000031,20.97900009,0.103,0.107000001,2
67.txt,3.0,0.600000024,442.8569946,200.0,135.7140045,14.10000038,0.0,7.143000126,0.0,0.172000006,0.173999995,2
68.txt,3.357000113,0.509000003,411.3919983,234.177002,107.5950012,11.28600025,0.0,6.328999996,25.31599998,0.148000002,0.128000006,2
69.txt,5.888999939,0.56099999,335.5700073,234.8990021,80.53700256,16.77799988,0.0,20.13400078,6.710999966,0.112999998,0.098999999,2
7.txt,4.199999809,0.666999996,369.368988,207.2070007,72.0719986,10.89999962,0.0,9.008999825,9.008999825,0.165000007,0.172000006,2
70.txt,4.272999763,0.72299999,361.9630127,184.048996,104.2939987,14.81799984,0.0,0.0,12.27000046,0.116999999,0.115000002,2
71.txt,1.940999985,0.458000004,352.9410095,278.0750122,58.82400131,11.05900002,0.0,10.69499969,32.08599854,0.159999996,0.173999995,2
72.txt,2.933000088,0.600000024,337.6619873,227.272995,103.8960037,10.2670002,12.98700047,6.493999958,19.4810009,0.193000004,0.166999996,2
73.txt,2.5,0.569000006,382.6530151,265.3059998,102.0410004,9.850000381,0.0,0.0,15.30599976,0.166999996,0.150000006,2
74.txt,3.167000055,0.653999984,347.5610046,225.6100006,91.46299744,9.111000061,6.09800005,6.09800005,18.29299927,0.232999995,0.209000006,2
75.txt,3.5,0.711000025,294.4790039,239.2640076,116.564003,9.111000061,6.135000229,18.40500069,18.40500069,0.195999995,0.192000002,2
76.txt,2.538000107,0.686999977,349.3450012,231.4409943,82.96900177,17.61499977,0.0,8.734000206,30.56800079,0.055,0.075000003,2
77.txt,2.25,0.768999994,353.8460083,207.6920013,76.92299652,10.83300018,0.0,0.0,23.07699966,0.206,0.163000003,2
78.txt,5.5,0.938000023,296.6099854,228.8139954,50.84700012,14.875,0.0,8.475000381,8.475000381,0.083999999,0.082000002,2
79.txt,3.5,0.843999982,306.8179932,227.272995,68.18199921,14.66699982,0.0,5.68200016,11.36400032,0.128999993,0.129999995,2
8.txt,2.845999956,0.791999996,348.3869934,251.6130066,64.51599884,11.92300034,0.0,12.90299988,19.35499954,0.114,0.130999997,2
80.txt,4.0,0.935000002,343.9490051,229.298996,89.17199707,14.18200016,0.0,0.0,6.368999958,0.187999994,0.158999994,2
81.txt,3.75,0.728999972,327.868988,229.5079956,98.36100006,12.25,0.0,4.09800005,20.49200058,0.163000003,0.143000007,2
82.txt,2.417000055,0.672999978,348.3150024,252.8090057,78.65200043,14.83300018,0.0,0.0,33.70800018,0.086999997,0.083999999,2
83.txt,2.799999952,0.467999995,361.2569885,277.4869995,94.24099731,9.550000191,5.236000061,0.0,26.1779995,0.157000005,0.155000001,2
84.txt,3.082999945,0.680999994,310.9760132,237.8049927,97.56099701,13.66699982,6.09800005,0.0,12.19499969,0.172999993,0.142000005,2
85.txt,4.308000088,0.583000004,292.8179932,303.8670044,77.34799957,14.0,5.525000095,11.05000019,49.72399902,0.149000004,0.152999997,2
86.txt,5.699999809,0.949000001,324.6749878,177.4889984,121.211998,23.20000076,0.0,4.328999996,12.98700047,0.079000004,0.072999999,2
87.txt,3.713999987,0.845000029,351.7789917,225.2960052,118.5770035,18.14299965,3.953000069,3.953000069,39.52600098,0.074000001,0.100000001,2
88.txt,3.73300004,1.085000038,328.8890076,204.4440002,93.33300018,14.86699963,4.443999767,4.443999767,4.443999767,0.137999997,0.126000002,2
89.txt,3.881999969,0.621999979,391.3039856,186.9570007,117.3909988,13.52900028,0.0,4.34800005,4.34800005,0.141000003,0.115000002,2
9.txt,4.699999809,0.871999979,353.3829956,203.0079956,120.3010025,13.30000019,7.519000053,0.0,22.55599976,0.201000005,0.185000002,2
90.txt,2.765000105,1.016000032,314.4100037,205.2400055,91.70300293,13.47099972,0.0,0.0,8.734000206,0.115999997,0.112999998,2
91.txt,9.399999619,1.0,319.6719971,229.5079956,86.06600189,24.39999962,0.0,4.09800005,28.68899918,0.079999998,0.079000004,2
92.txt,3.75,0.897000015,312.2170105,266.9679871,49.77399826,18.41699982,0.0,0.0,27.14900017,0.085000001,0.090999998,2
93.txt,3.599999905,0.763999999,346.1539917,257.6919861,111.538002,17.33300018,3.845999956,7.691999912,30.7689991,0.105999999,0.085000001,2
94.txt,6.625,0.783999979,354.5820007,223.1080017,123.5059967,15.625,11.95199966,0.0,27.88800049,0.128999993,0.114,2
95.txt,5.846000195,0.966000021,360.8699951,200.0,121.7389984,17.69199944,4.34800005,13.04300022,21.73900032,0.108000003,0.125,2
